Words,Url
thói quen,https://qipedc.moet.gov.vn/videos/D0029N.mp4?autoplay=true
thói quen,https://qipedc.moet.gov.vn/videos/D0029T.mp4?autoplay=true
khuyến khích,https://qipedc.moet.gov.vn/videos/D0030.mp4?autoplay=true
không nghe lời,https://qipedc.moet.gov.vn/videos/D0031B.mp4?autoplay=true
không nghe lời,https://qipedc.moet.gov.vn/videos/D0031N.mp4?autoplay=true
không nghe lời,https://qipedc.moet.gov.vn/videos/D0031T.mp4?autoplay=true
ai cho,https://qipedc.moet.gov.vn/videos/D0032.mp4?autoplay=true
không cho,https://qipedc.moet.gov.vn/videos/D0033B.mp4?autoplay=true
không cho,https://qipedc.moet.gov.vn/videos/D0033N.mp4?autoplay=true
không cho,https://qipedc.moet.gov.vn/videos/D0033T.mp4?autoplay=true
không cần,https://qipedc.moet.gov.vn/videos/D0034.mp4?autoplay=true
không nên,https://qipedc.moet.gov.vn/videos/D0035B.mp4?autoplay=true
không nên,https://qipedc.moet.gov.vn/videos/D0035N.mp4?autoplay=true
không nên,https://qipedc.moet.gov.vn/videos/D0035T.mp4?autoplay=true
bực mình,https://qipedc.moet.gov.vn/videos/D0036.mp4?autoplay=true
tự giác,https://qipedc.moet.gov.vn/videos/D0037.mp4?autoplay=true
mù chữ,https://qipedc.moet.gov.vn/videos/D0038.mp4?autoplay=true
vô tình,https://qipedc.moet.gov.vn/videos/D0039.mp4?autoplay=true
Tết hàn thực,https://qipedc.moet.gov.vn/videos/D0040B.mp4?autoplay=true
Tết hàn thực,https://qipedc.moet.gov.vn/videos/D0040N.mp4?autoplay=true
Tết hàn thực,https://qipedc.moet.gov.vn/videos/D0040T.mp4?autoplay=true
giỗ,https://qipedc.moet.gov.vn/videos/D0041.mp4?autoplay=true
ngày Quốc tế phụ nữ 8/3,https://qipedc.moet.gov.vn/videos/D0042B.mp4?autoplay=true
ngày Quốc tế phụ nữ 8/3,https://qipedc.moet.gov.vn/videos/D0042N.mp4?autoplay=true
ngày Quốc tế phụ nữ 8/3,https://qipedc.moet.gov.vn/videos/D0042T.mp4?autoplay=true
ngày giải phóng thủ đô 10/10,https://qipedc.moet.gov.vn/videos/D0043B.mp4?autoplay=true
ngày giải phóng thủ đô 10/10,https://qipedc.moet.gov.vn/videos/D0043N.mp4?autoplay=true
ngày giải phóng thủ đô 10/10,https://qipedc.moet.gov.vn/videos/D0043T.mp4?autoplay=true
ngày Giải phóng miền Nam 30/4,https://qipedc.moet.gov.vn/videos/D0044B.mp4?autoplay=true
ngày Giải phóng miền Nam 30/4,https://qipedc.moet.gov.vn/videos/D0044N.mp4?autoplay=true
ngày Giải phóng miền Nam 30/4,https://qipedc.moet.gov.vn/videos/D0044T.mp4?autoplay=true
ngày Người khuyết tật Việt Nam 18/4,https://qipedc.moet.gov.vn/videos/D0045B.mp4?autoplay=true
ngày Người khuyết tật Việt Nam 18/4,https://qipedc.moet.gov.vn/videos/D0045N.mp4?autoplay=true
ngày Người khuyết tật Việt Nam 18/4,https://qipedc.moet.gov.vn/videos/D0045T.mp4?autoplay=true
ngày Người khuyết tật Thế giới 3/12,https://qipedc.moet.gov.vn/videos/D0046B.mp4?autoplay=true
ngày Người khuyết tật Thế giới 3/12,https://qipedc.moet.gov.vn/videos/D0046N.mp4?autoplay=true
ngày Người khuyết tật Thế giới 3/12,https://qipedc.moet.gov.vn/videos/D0046T.mp4?autoplay=true
lễ Halloween 31/10,https://qipedc.moet.gov.vn/videos/D0048B.mp4?autoplay=true
lễ Halloween 31/10,https://qipedc.moet.gov.vn/videos/D0048N.mp4?autoplay=true
lễ Halloween 31/10,https://qipedc.moet.gov.vn/videos/D0048T.mp4?autoplay=true
ngày Phụ nữ Việt Nam 20/10,https://qipedc.moet.gov.vn/videos/D0049B.mp4?autoplay=true
ngày Phụ nữ Việt Nam 20/10,https://qipedc.moet.gov.vn/videos/D0049N.mp4?autoplay=true
ngày Phụ nữ Việt Nam 20/10,https://qipedc.moet.gov.vn/videos/D0049T.mp4?autoplay=true
ngày thương bình liệt sĩ 27/7,https://qipedc.moet.gov.vn/videos/D0050B.mp4?autoplay=true
ngày thương bình liệt sĩ 27/7,https://qipedc.moet.gov.vn/videos/D0050N.mp4?autoplay=true
ngày thương bình liệt sĩ 27/7,https://qipedc.moet.gov.vn/videos/D0050T.mp4?autoplay=true
ngày giỗ tổ Hùng Vương (âm lịch 10/3),https://qipedc.moet.gov.vn/videos/D0051B.mp4?autoplay=true
ngày giỗ tổ Hùng Vương (âm lịch 10/3),https://qipedc.moet.gov.vn/videos/D0051N.mp4?autoplay=true
ngày giỗ tổ Hùng Vương (âm lịch 10/3),https://qipedc.moet.gov.vn/videos/D0051T.mp4?autoplay=true
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,https://qipedc.moet.gov.vn/videos/D0052B.mp4?autoplay=true
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,https://qipedc.moet.gov.vn/videos/D0052N.mp4?autoplay=true
ngày Ngôn ngữ kí hiệu Quốc tế 23/9,https://qipedc.moet.gov.vn/videos/D0052T.mp4?autoplay=true
tuần lễ người Điếc thế giới,https://qipedc.moet.gov.vn/videos/D0053B.mp4?autoplay=true
tuần lễ người Điếc thế giới,https://qipedc.moet.gov.vn/videos/D0053N.mp4?autoplay=true
tuần lễ người Điếc thế giới,https://qipedc.moet.gov.vn/videos/D0053T.mp4?autoplay=true
ngày của Mẹ,https://qipedc.moet.gov.vn/videos/D0054B.mp4?autoplay=true
ngày của Mẹ,https://qipedc.moet.gov.vn/videos/D0054N.mp4?autoplay=true
ngày của Mẹ,https://qipedc.moet.gov.vn/videos/D0054T.mp4?autoplay=true
ngày của Cha,https://qipedc.moet.gov.vn/videos/D0055B.mp4?autoplay=true
ngày của Cha,https://qipedc.moet.gov.vn/videos/D0055N.mp4?autoplay=true
ngày của Cha,https://qipedc.moet.gov.vn/videos/D0055T.mp4?autoplay=true
ngày gia đình Việt Nam 28/6,https://qipedc.moet.gov.vn/videos/D0056B.mp4?autoplay=true
ngày gia đình Việt Nam 28/6,https://qipedc.moet.gov.vn/videos/D0056N.mp4?autoplay=true
ngày gia đình Việt Nam 28/6,https://qipedc.moet.gov.vn/videos/D0056T.mp4?autoplay=true
ngày thầy thuốc Việt Nam,https://qipedc.moet.gov.vn/videos/D0057B.mp4?autoplay=true
ngày thầy thuốc Việt Nam,https://qipedc.moet.gov.vn/videos/D0057N.mp4?autoplay=true
ngày thầy thuốc Việt Nam,https://qipedc.moet.gov.vn/videos/D0057T.mp4?autoplay=true
ngày thành lập quân đội nhân dân Việt Nam,https://qipedc.moet.gov.vn/videos/D0058B.mp4?autoplay=true
ngày thành lập quân đội nhân dân Việt Nam,https://qipedc.moet.gov.vn/videos/D0058N.mp4?autoplay=true
ngày thành lập quân đội nhân dân Việt Nam,https://qipedc.moet.gov.vn/videos/D0058T.mp4?autoplay=true
con cá sấu,https://qipedc.moet.gov.vn/videos/D0059.mp4?autoplay=true
nhầm,https://qipedc.moet.gov.vn/videos/D0060B.mp4?autoplay=true
nhầm,https://qipedc.moet.gov.vn/videos/D0060N.mp4?autoplay=true
nhầm,https://qipedc.moet.gov.vn/videos/D0060T.mp4?autoplay=true
đồng bằng sông Cửu Long,https://qipedc.moet.gov.vn/videos/D0061.mp4?autoplay=true
đồng bằng sông Hồng,https://qipedc.moet.gov.vn/videos/D0062.mp4?autoplay=true
đồng bằng duyên hải miền Trung,https://qipedc.moet.gov.vn/videos/D0063.mp4?autoplay=true
buồn thảm,https://qipedc.moet.gov.vn/videos/D0064.mp4?autoplay=true
mách,https://qipedc.moet.gov.vn/videos/D0065B.mp4?autoplay=true
mách,https://qipedc.moet.gov.vn/videos/D0065N.mp4?autoplay=true
mách,https://qipedc.moet.gov.vn/videos/D0065T.mp4?autoplay=true
vô duyên,https://qipedc.moet.gov.vn/videos/D0066B.mp4?autoplay=true
vô duyên,https://qipedc.moet.gov.vn/videos/D0066N.mp4?autoplay=true
vô duyên,https://qipedc.moet.gov.vn/videos/D0066T.mp4?autoplay=true
ti hí mắt,https://qipedc.moet.gov.vn/videos/D0067.mp4?autoplay=true
kịp thời,https://qipedc.moet.gov.vn/videos/D0068.mp4?autoplay=true
bối rối,https://qipedc.moet.gov.vn/videos/D0069.mp4?autoplay=true
hú vía,https://qipedc.moet.gov.vn/videos/D0070.mp4?autoplay=true
suỵt,https://qipedc.moet.gov.vn/videos/D0071.mp4?autoplay=true
suýt,https://qipedc.moet.gov.vn/videos/D0072B.mp4?autoplay=true
suýt,https://qipedc.moet.gov.vn/videos/D0072N.mp4?autoplay=true
suýt,https://qipedc.moet.gov.vn/videos/D0072T.mp4?autoplay=true
cá voi,https://qipedc.moet.gov.vn/videos/D0073.mp4?autoplay=true
cá kiếm,https://qipedc.moet.gov.vn/videos/D0074.mp4?autoplay=true
đuôi cá,https://qipedc.moet.gov.vn/videos/D0075.mp4?autoplay=true
đuôi chuột,https://qipedc.moet.gov.vn/videos/D0076.mp4?autoplay=true
bít tết (bò),https://qipedc.moet.gov.vn/videos/D0077B.mp4?autoplay=true
bít tết (bò),https://qipedc.moet.gov.vn/videos/D0077N.mp4?autoplay=true
bít tết (bò),https://qipedc.moet.gov.vn/videos/D0077T.mp4?autoplay=true
súp,https://qipedc.moet.gov.vn/videos/D0078.mp4?autoplay=true
súp lơ,https://qipedc.moet.gov.vn/videos/D0079.mp4?autoplay=true
mỳ tôm,https://qipedc.moet.gov.vn/videos/D0080B.mp4?autoplay=true
mỳ tôm,https://qipedc.moet.gov.vn/videos/D0080N.mp4?autoplay=true
mỳ tôm,https://qipedc.moet.gov.vn/videos/D0080T.mp4?autoplay=true
mỳ vằn thắn,https://qipedc.moet.gov.vn/videos/D0081B.mp4?autoplay=true
mỳ ý,https://qipedc.moet.gov.vn/videos/D0082B.mp4?autoplay=true
mỳ ý,https://qipedc.moet.gov.vn/videos/D0082N.mp4?autoplay=true
mỳ ý,https://qipedc.moet.gov.vn/videos/D0082T.mp4?autoplay=true
bún mắm,https://qipedc.moet.gov.vn/videos/D0083.mp4?autoplay=true
bún chả,https://qipedc.moet.gov.vn/videos/D0084.mp4?autoplay=true
bún ngan,https://qipedc.moet.gov.vn/videos/D0085.mp4?autoplay=true
bún ốc,https://qipedc.moet.gov.vn/videos/D0086.mp4?autoplay=true
bún đậu,https://qipedc.moet.gov.vn/videos/D0087B.mp4?autoplay=true
xôi gấc,https://qipedc.moet.gov.vn/videos/D0088.mp4?autoplay=true
xôi gà,https://qipedc.moet.gov.vn/videos/D0089.mp4?autoplay=true
cháo sườn,https://qipedc.moet.gov.vn/videos/D0090.mp4?autoplay=true
cơm rang,https://qipedc.moet.gov.vn/videos/D0091.mp4?autoplay=true
nhấn mạnh,https://qipedc.moet.gov.vn/videos/D0092.mp4?autoplay=true
đạo diễn,https://qipedc.moet.gov.vn/videos/D0093.mp4?autoplay=true
thí nghiệm,https://qipedc.moet.gov.vn/videos/D0094.mp4?autoplay=true
cắm trại,https://qipedc.moet.gov.vn/videos/D0095.mp4?autoplay=true
khả năng,https://qipedc.moet.gov.vn/videos/D0096.mp4?autoplay=true
kỹ năng,https://qipedc.moet.gov.vn/videos/D0097.mp4?autoplay=true
có … không?,https://qipedc.moet.gov.vn/videos/D0098.mp4?autoplay=true
cung cấp,https://qipedc.moet.gov.vn/videos/D0099.mp4?autoplay=true
khờ dại,https://qipedc.moet.gov.vn/videos/D0100.mp4?autoplay=true
cực khổ,https://qipedc.moet.gov.vn/videos/D0101.mp4?autoplay=true
may mắn,https://qipedc.moet.gov.vn/videos/D0102.mp4?autoplay=true
từ chối,https://qipedc.moet.gov.vn/videos/D0103B.mp4?autoplay=true
từ chối,https://qipedc.moet.gov.vn/videos/D0103N.mp4?autoplay=true
từ chối,https://qipedc.moet.gov.vn/videos/D0103T.mp4?autoplay=true
nấu nướng,https://qipedc.moet.gov.vn/videos/D0104.mp4?autoplay=true
xoa đầu,https://qipedc.moet.gov.vn/videos/D0105.mp4?autoplay=true
rực rỡ,https://qipedc.moet.gov.vn/videos/D0107.mp4?autoplay=true
thiệp sinh nhật,https://qipedc.moet.gov.vn/videos/D0108B.mp4?autoplay=true
thiệp sinh nhật,https://qipedc.moet.gov.vn/videos/D0108N.mp4?autoplay=true
thiệp sinh nhật,https://qipedc.moet.gov.vn/videos/D0108T.mp4?autoplay=true
không quen,https://qipedc.moet.gov.vn/videos/D0109B.mp4?autoplay=true
không quen,https://qipedc.moet.gov.vn/videos/D0109N.mp4?autoplay=true
không quen,https://qipedc.moet.gov.vn/videos/D0109T.mp4?autoplay=true
bánh tráng,https://qipedc.moet.gov.vn/videos/D0110.mp4?autoplay=true
tương ớt,https://qipedc.moet.gov.vn/videos/D0111B.mp4?autoplay=true
tương ớt,https://qipedc.moet.gov.vn/videos/D0111N.mp4?autoplay=true
tương ớt,https://qipedc.moet.gov.vn/videos/D0111T.mp4?autoplay=true
không có,https://qipedc.moet.gov.vn/videos/D0112.mp4?autoplay=true
không có chi,https://qipedc.moet.gov.vn/videos/D0113.mp4?autoplay=true
dân chủ,https://qipedc.moet.gov.vn/videos/D0114.mp4?autoplay=true
xử lý,https://qipedc.moet.gov.vn/videos/D0115.mp4?autoplay=true
đất ruộng,https://qipedc.moet.gov.vn/videos/D0116.mp4?autoplay=true
tinh mắt,https://qipedc.moet.gov.vn/videos/D0117.mp4?autoplay=true
cũng vậy/cũng thế,https://qipedc.moet.gov.vn/videos/D0118.mp4?autoplay=true
đúng không?,https://qipedc.moet.gov.vn/videos/D0119B.mp4?autoplay=true
đúng không?,https://qipedc.moet.gov.vn/videos/D0119N.mp4?autoplay=true
đúng không?,https://qipedc.moet.gov.vn/videos/D0119T.mp4?autoplay=true
phải không?,https://qipedc.moet.gov.vn/videos/D0120B.mp4?autoplay=true
phải không?,https://qipedc.moet.gov.vn/videos/D0120N.mp4?autoplay=true
phải không?,https://qipedc.moet.gov.vn/videos/D0120T.mp4?autoplay=true
còn bạn?,https://qipedc.moet.gov.vn/videos/D0121.mp4?autoplay=true
cần không?,https://qipedc.moet.gov.vn/videos/D0122B.mp4?autoplay=true
cần không?,https://qipedc.moet.gov.vn/videos/D0122N.mp4?autoplay=true
cần không?,https://qipedc.moet.gov.vn/videos/D0122T.mp4?autoplay=true
nên không?,https://qipedc.moet.gov.vn/videos/D0123B.mp4?autoplay=true
nên không?,https://qipedc.moet.gov.vn/videos/D0123N.mp4?autoplay=true
nên không?,https://qipedc.moet.gov.vn/videos/D0123T.mp4?autoplay=true
kia,https://qipedc.moet.gov.vn/videos/D0124.mp4?autoplay=true
nóng tính,https://qipedc.moet.gov.vn/videos/D0125.mp4?autoplay=true
sợ không?,https://qipedc.moet.gov.vn/videos/D0126.mp4?autoplay=true
căm thù,https://qipedc.moet.gov.vn/videos/D0127.mp4?autoplay=true
đẹp không? (người),https://qipedc.moet.gov.vn/videos/D0128B.mp4?autoplay=true
đẹp không? (người),https://qipedc.moet.gov.vn/videos/D0128N.mp4?autoplay=true
đẹp không? (người),https://qipedc.moet.gov.vn/videos/D0128T.mp4?autoplay=true
không đẹp,https://qipedc.moet.gov.vn/videos/D0129B.mp4?autoplay=true
không đẹp,https://qipedc.moet.gov.vn/videos/D0129N.mp4?autoplay=true
không đẹp,https://qipedc.moet.gov.vn/videos/D0129T.mp4?autoplay=true
chúng tôi (2 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0130.mp4?autoplay=true
chúng tôi (3 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0131.mp4?autoplay=true
chúng tôi (4 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0132.mp4?autoplay=true
chúng tôi (5 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0133.mp4?autoplay=true
chúng tôi (đại từ),https://qipedc.moet.gov.vn/videos/D0134.mp4?autoplay=true
các bạn (2 người),https://qipedc.moet.gov.vn/videos/D0135.mp4?autoplay=true
họ (2 người) (đại từ),https://qipedc.moet.gov.vn/videos/D0136.mp4?autoplay=true
họ (đại từ),https://qipedc.moet.gov.vn/videos/D0137.mp4?autoplay=true
bạn yêu tôi,https://qipedc.moet.gov.vn/videos/D0138.mp4?autoplay=true
tôi yêu bạn ấy,https://qipedc.moet.gov.vn/videos/D0139.mp4?autoplay=true
bạn ấy yêu tôi,https://qipedc.moet.gov.vn/videos/D0140.mp4?autoplay=true
bạn yêu bạn ấy,https://qipedc.moet.gov.vn/videos/D0141.mp4?autoplay=true
bạn ấy yêu bạn,https://qipedc.moet.gov.vn/videos/D0142.mp4?autoplay=true
"anh hai, anh cả",https://qipedc.moet.gov.vn/videos/D0143B.mp4?autoplay=true
"anh hai, anh cả",https://qipedc.moet.gov.vn/videos/D0143N.mp4?autoplay=true
"anh hai, anh cả",https://qipedc.moet.gov.vn/videos/D0143T.mp4?autoplay=true
"chị hai, chị cả",https://qipedc.moet.gov.vn/videos/D0144B.mp4?autoplay=true
"chị hai, chị cả",https://qipedc.moet.gov.vn/videos/D0144N.mp4?autoplay=true
"chị hai, chị cả",https://qipedc.moet.gov.vn/videos/D0144T.mp4?autoplay=true
quả bầu hồ lô,https://qipedc.moet.gov.vn/videos/D0145.mp4?autoplay=true
một là,https://qipedc.moet.gov.vn/videos/D0146.mp4?autoplay=true
hai là,https://qipedc.moet.gov.vn/videos/D0147.mp4?autoplay=true
ba là,https://qipedc.moet.gov.vn/videos/D0148.mp4?autoplay=true
bốn là,https://qipedc.moet.gov.vn/videos/D0149.mp4?autoplay=true
năm là,https://qipedc.moet.gov.vn/videos/D0150.mp4?autoplay=true
ông bà,https://qipedc.moet.gov.vn/videos/D0151B.mp4?autoplay=true
ông bà,https://qipedc.moet.gov.vn/videos/D0151N.mp4?autoplay=true
ông bà,https://qipedc.moet.gov.vn/videos/D0151T.mp4?autoplay=true
chị họ,https://qipedc.moet.gov.vn/videos/D0152B.mp4?autoplay=true
chị họ,https://qipedc.moet.gov.vn/videos/D0152N.mp4?autoplay=true
chị họ,https://qipedc.moet.gov.vn/videos/D0152T.mp4?autoplay=true
em họ,https://qipedc.moet.gov.vn/videos/D0153B.mp4?autoplay=true
em họ,https://qipedc.moet.gov.vn/videos/D0153N.mp4?autoplay=true
em họ,https://qipedc.moet.gov.vn/videos/D0153T.mp4?autoplay=true
cháu họ,https://qipedc.moet.gov.vn/videos/D0154B.mp4?autoplay=true
cháu họ,https://qipedc.moet.gov.vn/videos/D0154N.mp4?autoplay=true
cháu họ,https://qipedc.moet.gov.vn/videos/D0154T.mp4?autoplay=true
sống sót,https://qipedc.moet.gov.vn/videos/D0155B.mp4?autoplay=true
sống sót,https://qipedc.moet.gov.vn/videos/D0155N.mp4?autoplay=true
sống sót,https://qipedc.moet.gov.vn/videos/D0155T.mp4?autoplay=true
thường xuyên,https://qipedc.moet.gov.vn/videos/D0156.mp4?autoplay=true
thường xuyên,https://qipedc.moet.gov.vn/videos/D0156B.mp4?autoplay=true
thường xuyên,https://qipedc.moet.gov.vn/videos/D0156N.mp4?autoplay=true
thường xuyên,https://qipedc.moet.gov.vn/videos/D0156T.mp4?autoplay=true
đi dạo,https://qipedc.moet.gov.vn/videos/D0157B.mp4?autoplay=true
đi dạo,https://qipedc.moet.gov.vn/videos/D0157N.mp4?autoplay=true
đi dạo,https://qipedc.moet.gov.vn/videos/D0157T.mp4?autoplay=true
về (Sài Gòn),https://qipedc.moet.gov.vn/videos/D0158N.mp4?autoplay=true
về 2 (Miền Bắc),https://qipedc.moet.gov.vn/videos/D0159B.mp4?autoplay=true
về 2 (Miền Bắc),https://qipedc.moet.gov.vn/videos/D0159T.mp4?autoplay=true
về 3 (đi về),https://qipedc.moet.gov.vn/videos/D0160.mp4?autoplay=true
về 4 (từ nơi khác về),https://qipedc.moet.gov.vn/videos/D0161.mp4?autoplay=true
về 5 (về nhà),https://qipedc.moet.gov.vn/videos/D0162.mp4?autoplay=true
hẹn,https://qipedc.moet.gov.vn/videos/D0163B.mp4?autoplay=true
hẹn,https://qipedc.moet.gov.vn/videos/D0163N.mp4?autoplay=true
hẹn,https://qipedc.moet.gov.vn/videos/D0163T.mp4?autoplay=true
quyến luyến,https://qipedc.moet.gov.vn/videos/D0164.mp4?autoplay=true
hứa,https://qipedc.moet.gov.vn/videos/D0165B.mp4?autoplay=true
hứa,https://qipedc.moet.gov.vn/videos/D0165N.mp4?autoplay=true
hứa,https://qipedc.moet.gov.vn/videos/D0165T.mp4?autoplay=true
cùng / với (giới từ),https://qipedc.moet.gov.vn/videos/D0166.mp4?autoplay=true
lâu,https://qipedc.moet.gov.vn/videos/D0167.mp4?autoplay=true
lâu,https://qipedc.moet.gov.vn/videos/D0167B.mp4?autoplay=true
vẫn,https://qipedc.moet.gov.vn/videos/D0168B.mp4?autoplay=true
vẫn,https://qipedc.moet.gov.vn/videos/D0168N.mp4?autoplay=true
vẫn,https://qipedc.moet.gov.vn/videos/D0168T.mp4?autoplay=true
mỗi ngày,https://qipedc.moet.gov.vn/videos/D0169B.mp4?autoplay=true
mỗi ngày,https://qipedc.moet.gov.vn/videos/D0169N.mp4?autoplay=true
mỗi ngày,https://qipedc.moet.gov.vn/videos/D0169T.mp4?autoplay=true
hàng ngày,https://qipedc.moet.gov.vn/videos/D0170B.mp4?autoplay=true
hàng ngày,https://qipedc.moet.gov.vn/videos/D0170N.mp4?autoplay=true
hàng ngày,https://qipedc.moet.gov.vn/videos/D0170T.mp4?autoplay=true
ăn vú sữa (bằng thìa),https://qipedc.moet.gov.vn/videos/D0171.mp4?autoplay=true
ăn vú sữa,https://qipedc.moet.gov.vn/videos/D0172.mp4?autoplay=true
hôi,https://qipedc.moet.gov.vn/videos/D0173.mp4?autoplay=true
trông nhà,https://qipedc.moet.gov.vn/videos/D0174.mp4?autoplay=true
chạy (động vật),https://qipedc.moet.gov.vn/videos/D0175.mp4?autoplay=true
xe container,https://qipedc.moet.gov.vn/videos/D0176.mp4?autoplay=true
bay nhanh (máy bay),https://qipedc.moet.gov.vn/videos/D0177.mp4?autoplay=true
chậm chạp,https://qipedc.moet.gov.vn/videos/D0178.mp4?autoplay=true
ngừng lại,https://qipedc.moet.gov.vn/videos/D0179.mp4?autoplay=true
5 > 3 (Toán học),https://qipedc.moet.gov.vn/videos/D0180.mp4?autoplay=true
2 < 6 (Toán học),https://qipedc.moet.gov.vn/videos/D0181.mp4?autoplay=true
cung điện,https://qipedc.moet.gov.vn/videos/D0182B.mp4?autoplay=true
cung điện,https://qipedc.moet.gov.vn/videos/D0182N.mp4?autoplay=true
cung điện,https://qipedc.moet.gov.vn/videos/D0182T.mp4?autoplay=true
dừng lại,https://qipedc.moet.gov.vn/videos/D0183.mp4?autoplay=true
một ít/ một chút,https://qipedc.moet.gov.vn/videos/D0184.mp4?autoplay=true
kẹt xe/tắc đường,https://qipedc.moet.gov.vn/videos/D0185.mp4?autoplay=true
suy ra (Toán học),https://qipedc.moet.gov.vn/videos/D0186.mp4?autoplay=true
thì thầm,https://qipedc.moet.gov.vn/videos/D0187.mp4?autoplay=true
hoặc,https://qipedc.moet.gov.vn/videos/D0188B.mp4?autoplay=true
hoặc,https://qipedc.moet.gov.vn/videos/D0188N.mp4?autoplay=true
hoặc,https://qipedc.moet.gov.vn/videos/D0188T.mp4?autoplay=true
muốn không?,https://qipedc.moet.gov.vn/videos/D0189B.mp4?autoplay=true
muốn không?,https://qipedc.moet.gov.vn/videos/D0189N.mp4?autoplay=true
muốn không?,https://qipedc.moet.gov.vn/videos/D0189T.mp4?autoplay=true
không muốn,https://qipedc.moet.gov.vn/videos/D0190B.mp4?autoplay=true
không muốn,https://qipedc.moet.gov.vn/videos/D0190N.mp4?autoplay=true
không muốn,https://qipedc.moet.gov.vn/videos/D0190T.mp4?autoplay=true
sa mạc,https://qipedc.moet.gov.vn/videos/D0191.mp4?autoplay=true
xem,https://qipedc.moet.gov.vn/videos/D0192B.mp4?autoplay=true
xem,https://qipedc.moet.gov.vn/videos/D0192N.mp4?autoplay=true
xem,https://qipedc.moet.gov.vn/videos/D0192T.mp4?autoplay=true
núi cao,https://qipedc.moet.gov.vn/videos/D0193.mp4?autoplay=true
núi thấp,https://qipedc.moet.gov.vn/videos/D0194.mp4?autoplay=true
đẹp không?,https://qipedc.moet.gov.vn/videos/D0195B.mp4?autoplay=true
đẹp không?,https://qipedc.moet.gov.vn/videos/D0195N.mp4?autoplay=true
đẹp không?,https://qipedc.moet.gov.vn/videos/D0195T.mp4?autoplay=true
xem đã,https://qipedc.moet.gov.vn/videos/D0196.mp4?autoplay=true
